Year,Item,Item Code (CPC),Area_Harvested_ha,Production_tonnes,Yield_hg_per_ha
1969,Sesame seed,1444,7500.0,3000.0,4000.0
1969,Sorghum,114,200000.0,205000.0,10250.0
1969,Sugar cane,1802,26367.0,1540657.0,584313.0
1969,Sunflower seed,1445,4168.0,3000.0,7198.0
1969,Sweet potatoes,1530,29000.0,220000.0,75862.0
1969,Tea leaves,1620,36524.0,36060.0,9873.0
1969,Tomatoes,1234,2500.0,40000.0,160000.0
1969,Unmanufactured tobacco,1970,500.0,123.0,2460.0
1969,Wheat,111,139800.0,241600.0,17282.0
1970,Apricots,1343,2.0,10.0,50000.0
1970,Avocados,1311,1100.0,16000.0,145455.0
1970,Bananas,1312,40000.0,400000.0,100000.0
1970,Barley,115,11000.0,16280.0,14800.0
1970,"Beans, dry",1701,150000.0,80000.0,5333.0
1970,"Beer of barley, malted",24310.01,,79533.0,
1970,"Cashew nuts, in shell",1372,68000.0,22200.0,3265.0
1970,"Cassava, fresh",1520.01,64000.0,510000.0,79688.0
1970,Castor oil seeds,1447,9000.0,3000.0,3333.0
1970,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",1652,3300.0,2500.0,7576.0
1970,"Cloves (whole stems), raw",1656,65.0,20.0,3077.0
1970,"Coconuts, in shell",1460,17000.0,80000.0,47059.0
1970,"Coffee, green",1610,84983.0,58300.0,6860.0
1970,"Cotton lint, ginned",1921.02,,4626.0,
1970,Cotton seed,143,,9251.0,
1970,Cottonseed oil,2168,,1818.11,
1970,Dates,1314,250.0,700.0,28000.0
1970,Green garlic,1252,14.0,200.0,142857.0
1970,"Groundnuts, excluding shelled",142,4000.0,3000.0,7500.0
1970,Linseed,1441,240.0,240.0,10000.0
1970,Maize (corn),112,1200000.0,1470000.0,12250.0
1970,"Mangoes, guavas and mangosteens",1316,500.0,2000.0,40000.0
1970,Millet,118,75000.0,130000.0,17333.0
1970,Oats,117,5000.0,3700.0,7400.0
1970,"Onions and shallots, dry (excluding dehydrated)",1253.02,1400.0,3700.0,26429.0
1970,Oranges,1323,3000.0,9500.0,31667.0
